picname	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55
image001	0.469864662	1.125107062	0.320593187	0.226659728	0.221267842	1.00477042	0.243762294	0.164000674	1.057287872	0.223521259	0.129109923	1.06141773	0.161065226	1.103493286	0.129946265	0.173235508	1.122616589	0.120734535	0.179274452	1.13959347	0.221373284	1.119190756	0.128645428	0.107019394	0.236394909	1.111463319	0.112502142	0.247033026	1.127876608	0.104050825	0.261324981	1.133543126	0.107063769	0.112868205	0.276644619	1.149665387	0.118183845	0.10839306	0.293031937	1.149536183	0.252480334	0.40882784	0.355666429	0.497716809	0.675573221	0.114371498	0.111701102	0.313634642	1.15947416	0.117287827	0.115604976	0.321642891	1.161272034	0.107829985	0.108159073
image002	0.495063779	1.110651015	0.291352139	0.216854161	0.216520649	1.004677983	0.212837105	0.169207913	1.063675076	0.211492034	0.135997731	1.074040871	0.16311056	1.098070131	0.132857363	0.175075925	1.118077888	0.116242893	0.174244914	1.128810201	0.217008057	1.11846367	0.123239503	0.109123987	0.233222434	1.110352274	0.113273614	0.246428574	1.131268215	0.103770936	0.25814107	1.132061245	0.109647893	0.112702377	0.275864812	1.149617951	0.119081102	0.111947299	0.294061864	1.145452838	0.244998952	0.383751405	0.385998715	0.512915281	0.680351596	0.113695266	0.110959753	0.313535806	1.158795505	0.115646477	0.113185021	0.32070373	1.160923417	0.107437497	0.107832932
image003	0.495359246	1.131278666	0.336059601	0.193819329	0.230039152	0.982210059	0.236779684	0.155566346	1.05029354	0.219949074	0.12914521	1.075922004	0.15434091	1.109908213	0.136214603	0.179082428	1.127779318	0.116345072	0.176251803	1.128395056	0.221463737	1.115655383	0.125457311	0.102834514	0.228526474	1.112855803	0.113930853	0.240692874	1.138733349	0.106144287	0.260735942	1.13480488	0.109348346	0.112685004	0.276176844	1.148344295	0.124201144	0.11099328	0.296437668	1.145185258	0.262657454	0.390677685	0.384101536	0.478431905	0.689552467	0.10951498	0.113340666	0.315008988	1.15839975	0.115122692	0.109942331	0.32007063	1.164146721	0.10626854	0.111098477
image004	0.449256079	1.14644065	0.307539422	0.2234989	0.223956858	1.011699703	0.242827154	0.167910033	1.060688564	0.225596451	0.13422585	1.057520619	0.163370386	1.091543121	0.130934421	0.174101443	1.115834953	0.116693201	0.178541535	1.138529029	0.220715287	1.125501056	0.126491197	0.109970488	0.239797592	1.114251439	0.112630569	0.250154564	1.127898917	0.102678889	0.264774447	1.128564825	0.110642599	0.11478207	0.278340704	1.143914682	0.112496727	0.109139581	0.292356367	1.149103909	0.252925522	0.415104239	0.357674104	0.49684075	0.689107779	0.113583091	0.111095649	0.312101843	1.162821588	0.114351005	0.113351134	0.320919598	1.164760359	0.112721179	0.108078754
image005	0.453338411	1.144821903	0.36479147	0.216306354	0.255640135	0.988854531	0.270434796	0.165854446	1.055096188	0.228767167	0.12493062	1.071731598	0.166715817	1.119488346	0.127869376	0.182653069	1.140926474	0.122445757	0.184200974	1.134325717	0.228700034	1.117144503	0.122180866	0.10898123	0.241317499	1.113062863	0.122691907	0.251742104	1.135604699	0.106213834	0.266053463	1.13535464	0.109486958	0.115909693	0.278510503	1.148174991	0.117583061	0.116982693	0.294523049	1.143211002	0.289406992	0.414644896	0.347622237	0.434211024	0.672721372	0.109233175	0.122374107	0.313327336	1.158585672	0.111684609	0.117819168	0.320285561	1.162804533	0.107195147	0.112648769
image006	0.458652227	1.161333986	0.392835391	0.185691738	0.271951415	1.019652541	0.255535899	0.177102244	1.057354876	0.22438986	0.117371739	1.104023795	0.159429098	1.12689328	0.13495091	0.193826778	1.141969131	0.121053036	0.190510978	1.13093599	0.231374795	1.120280435	0.115583716	0.107479069	0.235459929	1.121917241	0.119916475	0.247875782	1.138904522	0.108784768	0.263211637	1.140937729	0.104799557	0.116334478	0.281474489	1.149302507	0.1155909	0.115587308	0.298441952	1.154589882	0.315640248	0.422336436	0.326810176	0.398123202	0.653762015	0.103896481	0.121963322	0.316452886	1.160254948	0.115566304	0.111298413	0.320199644	1.171975481	0.106374039	0.116331292
image007	0.486018689	1.123334619	0.314148637	0.229653271	0.193159866	1.020879958	0.224151166	0.164029923	1.074034079	0.236521297	0.126632647	1.073130721	0.170216778	1.091033918	0.119865295	0.172231361	1.120561789	0.113252018	0.180434685	1.135132841	0.215810285	1.126769481	0.127016085	0.111409625	0.236423385	1.114316338	0.117369767	0.250465566	1.128414187	0.10054765	0.263606222	1.126636006	0.110278663	0.114537875	0.273909327	1.145354343	0.113701731	0.114166239	0.294929123	1.150210127	0.244649896	0.396458402	0.3908282	0.513647087	0.710920773	0.109984264	0.111299195	0.314703907	1.163228892	0.115387403	0.114548323	0.319135296	1.163862906	0.111205233	0.111271249
image008	0.482315009	1.155362506	0.339646555	0.19933454	0.228540604	1.002232726	0.252179763	0.176002307	1.061193515	0.233384718	0.12266175	1.072143021	0.156012674	1.111001489	0.130504598	0.177765065	1.130039938	0.119438163	0.18374761	1.138553435	0.226103897	1.11933219	0.133447332	0.105201957	0.239529462	1.111560095	0.11920306	0.243361671	1.127419407	0.102828432	0.263438353	1.137434283	0.105599326	0.114758562	0.276689174	1.148803777	0.119831784	0.112696515	0.297331142	1.150628992	0.272732776	0.406026347	0.36445993	0.460757625	0.684639491	0.108386989	0.12026894	0.313962526	1.155574825	0.117744386	0.111624867	0.32007715	1.165786767	0.108104557	0.110820622
image009	0.469226956	1.184523792	0.345401819	0.218679025	0.230320438	1.001766385	0.244833359	0.166889209	1.047363857	0.251710746	0.124246427	1.050152103	0.161228261	1.095387713	0.132364719	0.180154136	1.127486902	0.113122852	0.180181442	1.146750991	0.223518358	1.128586729	0.126711625	0.10867205	0.240684717	1.113498443	0.112575502	0.248897615	1.130025048	0.104111299	0.260983519	1.126748103	0.105608808	0.111313662	0.279381618	1.146696312	0.115122339	0.111227289	0.295848498	1.144104051	0.292136009	0.399481924	0.367231638	0.430154799	0.677929226	0.114358412	0.113927343	0.312173383	1.161362061	0.116415571	0.114242353	0.32400727	1.163695889	0.111194409	0.110801498
image010	0.475579906	1.121118481	0.301207372	0.215144894	0.206130387	0.999706731	0.257513081	0.176337705	1.060717363	0.236968089	0.127999863	1.060487442	0.152583591	1.091436676	0.131301754	0.170347384	1.128870821	0.120482945	0.179161014	1.139939811	0.219954067	1.123915522	0.132633547	0.104222628	0.241641876	1.114111385	0.112625556	0.242693455	1.128535547	0.09989206	0.261417885	1.134823604	0.108081299	0.112985668	0.272885761	1.146915582	0.11914422	0.112913922	0.299615675	1.150842932	0.281859127	0.420176514	0.353107345	0.445838698	0.69027427	0.108167673	0.11416469	0.312566561	1.157963709	0.118561016	0.11094474	0.320378713	1.166738022	0.107706064	0.110152226
