picname	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10	W11	W12	W13	W14	W15	W16	W17	W18	W19	W20	W21	W22	W23	W24	W25	W26	W27	W28	W29	W30	W31	W32	W33	W34	W35	W36	W37	W38	W39	W40	W41	W42	W43	W44	W45	W46	W47	W48	W49	W50	W51	W52	W53	W54	W55
image001	5.91171686	3.702407262	1.222529295	2.329412249	1.889900811	2.822254725	0.901142669	3.840052844	2.443861437	0.416621154	1.004558379	2.135399477	0.621594605	1.922255939	0.447789412	0.529775554	0.466447607	0.459528739	1.888640672	0.523569336	0.606563307	1.115961752	0.342417059	0.503543132	0.981222867	1.176913464	0.962802619	0.418038067	1.479000109	0.448482543	0.444562956	0.24247423	0.383648424	0.369262563	0.291944362	0.295643043	0.366434234	0.2994806	0.388211099	0.211696807	0.252480334	0.40882784	0.355666429	0.497716809	0.675573221	0.211696807	0.470228145	0.39668997	0.744990606	0.341841705	0.347490743	0.327179749	0.195457208	0.272264128	0.437136226
image002	5.742856727	3.687525305	1.476584865	2.400221081	1.799028966	2.61138322	0.988528457	3.884529112	2.43302144	0.39636338	1.044015966	1.914845131	0.703572643	2.220673203	0.466840149	0.505131458	0.488720433	0.351873211	1.965518009	0.522220088	0.615072598	1.064104441	0.30422451	0.463879542	1.072984731	0.928186886	1.001427122	0.265391034	1.515973319	0.518026265	0.429914056	0.25081994	0.407144304	0.36346706	0.298928832	0.268453128	0.383756399	0.288879912	0.452246316	0.180048249	0.244998952	0.383751405	0.385998715	0.512915281	0.680351596	0.180048249	0.523776009	0.350659279	0.713782375	0.424413908	0.315360733	0.254325808	0.259091664	0.273954965	0.455825736
image003	5.365054292	3.784629234	0.87379135	2.32534012	1.778918187	2.548524583	0.957552226	3.831584342	2.438205214	0.401192227	1.099145923	1.781800944	0.926193123	2.082974548	0.405320189	0.493456756	0.487995567	0.321271124	1.999156002	0.491936268	0.609730839	1.054625226	0.345481979	0.481745718	1.053893922	1.057814302	0.776393793	0.349580082	1.642049767	0.601935988	0.430020961	0.238874472	0.366984163	0.404003535	0.304299999	0.273305381	0.347931411	0.257227657	0.452497604	0.181639236	0.262657454	0.390677685	0.384101536	0.478431905	0.689552467	0.181639236	0.536502465	0.265847387	0.793578747	0.382462294	0.315439439	0.321053609	0.258470536	0.29229944	0.452042588
image004	6.094593717	3.9654307	1.816069113	2.49130157	1.861727948	2.91372976	0.938920179	3.929699686	2.418422006	0.38735952	0.930929008	2.221007929	0.702878709	1.864733424	0.46049287	0.512875741	0.440377995	0.424863425	1.923295042	0.509601942	0.666322123	1.050105637	0.392125204	0.477164122	1.025842286	1.076701794	0.897951853	0.574139804	1.393311312	0.530862079	0.406049086	0.238053527	0.381296184	0.369622933	0.289212145	0.278175928	0.368776793	0.292574929	0.4016593	0.256089917	0.252925522	0.415104239	0.357674104	0.49684075	0.689107779	0.256089917	0.430130921	0.449773027	0.744242097	0.350778628	0.289956361	0.30692332	0.201400303	0.288739798	0.498102584
image005	5.804161873	4.153828132	0.535471164	2.397917687	1.743759624	3.30347995	0.846860077	3.833810999	2.699215375	0.387661549	1.049581543	2.234385009	0.547818795	2.225304546	0.319434865	0.512120026	0.442579048	0.386908038	2.007588202	0.541062022	0.643239614	1.053743467	0.335021451	0.517818119	0.950315738	1.298154122	0.954192669	0.358984228	1.467195136	0.596234807	0.403552651	0.25557916	0.381986213	0.403416596	0.30599904	0.289235286	0.3934278	0.297174244	0.46072092	0.255631908	0.289406992	0.414644896	0.347622237	0.434211024	0.672721372	0.255631908	0.44112232	0.321186185	0.69765081	0.308772062	0.263433201	0.309207062	0.268871455	0.2203854	0.479203749
image006	5.933633027	4.484358848	0.635635482	2.354982668	1.933172971	3.083117073	0.798835155	4.006409769	2.673869664	0.378064626	1.059971736	2.060502987	0.502135869	2.183329841	0.34011401	0.496096557	0.507759223	0.392784885	1.967831131	0.517182648	0.633240427	1.080684785	0.36537109	0.495053369	0.974766456	1.154272336	0.83198002	0.425021609	1.40016015	0.612504063	0.402112914	0.263178399	0.404462712	0.387553749	0.294351209	0.303029849	0.389850944	0.316909172	0.35216647	0.255710885	0.315640248	0.422336436	0.326810176	0.398123202	0.653762015	0.255710885	0.50678989	0.231170428	0.822026796	0.373484987	0.341433026	0.242029027	0.262394242	0.271402792	0.448503949
image007	5.828966855	3.488701957	1.729668426	2.091480407	1.92624704	2.707857962	0.950177882	3.78279079	2.613771279	0.331664061	1.022447654	2.299994379	0.670400088	1.944346601	0.426443686	0.564512447	0.359512575	0.396163442	1.980811022	0.568728512	0.607564171	1.066660595	0.344168888	0.525077391	0.932963539	1.195065802	0.980415106	0.312863214	1.486366738	0.420133476	0.431547212	0.270078277	0.377357791	0.352946763	0.3147885	0.255759514	0.355826151	0.268390665	0.431763334	0.260988167	0.244649896	0.396458402	0.3908282	0.513647087	0.710920773	0.260988167	0.442565842	0.371902531	0.762461349	0.476695422	0.293695589	0.271937991	0.238032485	0.222970499	0.451694439
image008	5.824030241	4.01658881	1.404407326	2.179642518	1.68916422	2.781908199	0.97579153	3.727245861	2.390751447	0.42315036	1.134417755	2.011034778	0.833739764	1.7192723	0.43378695	0.482557717	0.468462861	0.362828043	1.999912461	0.523893715	0.629746808	1.131298465	0.394489863	0.491121019	1.02795291	1.092803647	0.855623563	0.368510775	1.543919212	0.435455264	0.433675622	0.230463223	0.404983322	0.357362857	0.287846833	0.264461843	0.345995757	0.278467681	0.372838249	0.228656337	0.272732776	0.406026347	0.36445993	0.460757625	0.684639491	0.228656337	0.411627478	0.310894873	0.842466527	0.360033276	0.352918523	0.35973272	0.238466694	0.257073824	0.475265197
image009	6.062735799	3.809072213	1.603820362	2.167562828	1.694960901	2.95191097	1.036713377	3.859917354	2.522324369	0.455966854	0.987272101	2.303628011	0.827420059	1.642379648	0.429741785	0.553719081	0.454710602	0.484471423	1.901411752	0.565076955	0.635671898	1.069746343	0.347223415	0.490951193	1.010860491	1.151551931	0.962352997	0.430079475	1.505788533	0.424150171	0.417683926	0.227733317	0.408089734	0.369233336	0.296332288	0.300138087	0.351596439	0.248589189	0.481053167	0.279594044	0.292136009	0.399481924	0.367231638	0.430154799	0.677929226	0.279594044	0.502849795	0.324187549	0.744381861	0.435621691	0.250893028	0.322702546	0.235683532	0.232681772	0.46647087
image010	5.998203247	3.805153307	1.527053957	2.249334162	1.737375698	2.564545559	0.992079301	3.81085851	2.418938956	0.453615112	1.129724201	1.919517707	0.785902481	1.776446444	0.387318242	0.482036249	0.423146701	0.340921398	2.006150268	0.488500869	0.645920212	1.061425427	0.370208685	0.456282719	1.036544203	1.094935504	0.857672923	0.431596864	1.437042301	0.536312084	0.416559541	0.257725642	0.360145544	0.407938344	0.316728082	0.271334863	0.363512396	0.288133993	0.303226731	0.227813125	0.281859127	0.420176514	0.353107345	0.445838698	0.69027427	0.227813125	0.41957253	0.306267548	0.737327044	0.324544958	0.250678762	0.303964829	0.261781243	0.254739235	0.471479848
