picname	A (area)	L (length)	W (width)	P (perimeter)	stock (large)	stock (NS)	circularity (P^2/A)		roundness (4A/?L^2)		Ellipticity (L-W)/(L+W)		Form factor (4?A/P^2)		Rectangularity (A/LW)		
	7.046919362	4.684729064	2.226600985	13.33869767			25.2480334		0.40882784		0.355666429		0.497716809		0.675573221		
	8.515118057	5.315270936	2.354679803	14.44366642			24.49989517		0.383751405		0.385998715		0.512915281		0.680351596		
	7.991640176	5.103448276	2.270935961	14.48814641			26.26574543		0.390677685		0.384101536		0.478431905		0.689552467		
	7.974847727	4.945812808	2.339901478	14.20226223			25.29255222		0.415104239		0.357674104		0.49684075		0.689107779		
	7.997791745	4.955665025	2.399014778	15.21386489			28.94069917		0.414644896		0.347622237		0.434211024		0.672721372		
	8.325268752	5.009852217	2.541871921	16.21045926			31.56402482		0.422336436		0.326810176		0.398123202		0.653762015		
	7.799788881	5.004926108	2.192118227	13.81382473			24.46498957		0.396458402		0.3908282		0.513647087		0.710920773		
	7.416814288	4.822660099	2.246305419	14.22254671			27.2732776		0.406026347		0.36445993		0.460757625		0.684639491		
	7.13420612	4.768472906	2.206896552	14.43661491			29.21360086		0.399481924		0.367231638		0.430154799		0.677929226		
	7.349547429	4.719211823	2.256157635	14.3928351			28.18591269		0.420176514		0.353107345		0.445838698		0.69027427		
	6.413671771	4.458128079	2.118226601	13.91774322			30.20166658		0.410876939		0.355805243		0.416082026		0.679175125		
	7.930197287	5.054187192	2.310344828	15.19844645			29.12825069		0.395267826		0.372575251		0.431415218		0.679134611		
	8.025200806	5.0591133	2.305418719	14.22901818			25.22864702		0.399224527		0.373913043		0.498099268		0.688068518		
	8.620895921	5.251231527	2.399014778	16.47259327			31.47542106		0.398052345		0.372826787		0.399243924		0.684318549		
	7.960821665	5.049261084	2.369458128	15.75548197			31.18210942		0.397568858		0.36122178		0.402999375		0.665397292		get rid of  weird ones
	7.782401902	4.768472906	2.379310345	14.95770725			28.74858033		0.435777833		0.33425224		0.437112736		0.685935441		 do ancova
	7.448579194	4.837438424	2.216748768	14.17439596			26.97339929		0.405277654		0.37150838		0.465880124		0.694610772		
	9.25261472	5.339901478	2.482758621	15.87857462			27.24950076		0.413150334		0.365239295		0.461159664		0.697905684		
	7.058615836	4.591133005	2.285714286	14.40577804			29.40044418		0.426373217		0.335243553		0.427421114		0.672632316		
	7.639678226	5.078817734	2.216748768	15.17524114			30.14367058		0.377102951		0.392302498		0.416882562		0.678572044		
	6.671892062	4.24137931	2.325123153	13.1562017			25.94251249		0.472220572		0.291822956		0.484392968		0.67654383		
	7.565483268	4.679802956	2.320197044	14.64639711			28.35469205		0.439836897		0.337086559		0.443184874		0.696761649		
	7.526110801	4.842364532	2.21182266	15.02716787			30.00431168		0.408663421		0.372905028		0.418818827		0.702688466		
	7.890776287	5.009852217	2.310344828	15.76756942			31.50719732		0.400294865		0.368775236		0.398841271		0.681738799		
	8.02692373	5.068965517	2.374384236	15.38143752			29.47438248		0.397759519		0.362011913		0.426348902		0.666927767		
	6.916244024	4.571428571	2.216748768	13.01835561			24.50428039		0.421382553		0.346879536		0.512823491		0.682498803		
	7.467288699	4.812807882	2.325123153	14.4763138			28.06422379		0.410464885		0.348516218		0.447771893		0.667295899		
	7.968186561	5.128078818	2.201970443	15.50815117			30.18287171		0.385798229		0.399193548		0.41634112		0.705656452		
	6.069135383	4.221674877	2.088669951	12.59252482			26.12755711		0.433578138		0.338017174		0.480962325		0.688291209		
	8.37432357	4.97044335	2.399014778	17.4572349			36.391602		0.431588237		0.348930481		0.34530963		0.702298411		
	9.373474241	5.389162562	2.507389163	17.13001122			31.30507183		0.410930277		0.364940736		0.401416444		0.693677426		
	8.303817127	5.177339901	2.399014778	15.97400606			30.72910515		0.394434177		0.366710013		0.408940337		0.668556591		
	7.888689364	4.926108374	2.21182266	14.81021402			27.80467443		0.413911077		0.38026225		0.451951727		0.724020045		
	11.85186488	5.990147783	3.024630542	22.62128781			43.17655215		0.420553969		0.328961749		0.291046181		0.65414921		
	11.96651217	5.950738916	3.02955665	26.8851328			60.40276026		0.430264894		0.325287987		0.208042986		0.663769989		
	9.231745492	4.97044335	2.600985222	17.34843579			32.60144298		0.475777265		0.3129473		0.38545443		0.714086479		
	0.000169866	0.014778325	0.014778325	0.047570711			13.32211914		0.990297424		0		0.943271148		0.777777778		
	12.21014827	6.078817734	3.118226601	23.02514375			43.41939452		0.420719666		0.321906802		0.289418375		0.644160579		
	9.811740154	5.581280788	2.566502463	18.1121276			33.43435119		0.401040666		0.370012092		0.375852085		0.684968312		
	4.278579922	3.399014778	1.812807882	10.81183403			27.32115729		0.471523847		0.304347826		0.459950158		0.694376181		
	4.47890024	3.615763547	1.842364532	10.7176828			25.64663612		0.436195784		0.324909747		0.489981242		0.67235061		
	8.463745784	4.729064039	2.581280788	14.74775516			25.69740254		0.481861623		0.293800539		0.489013261		0.693349435		
	4.57954573	3.532019704	1.886699507	11.22274148			27.5027118		0.46739739		0.303636364		0.456913875		0.687221197		
	4.492974836	3.596059113	1.802955665	11.10868075			27.46571982		0.442374883		0.332116788		0.457529265		0.692982259		
	4.725193526	3.881773399	1.862068966	11.6277927			28.61376202		0.399272464		0.351629503		0.439172263		0.65372284		
	4.777475794	3.778325123	1.876847291	11.96577385			29.9697476		0.426098457		0.336236934		0.41930185		0.673705715		
	4.201108981	3.482758621	1.75862069	11.07326786			29.18687937		0.440988551		0.328947368		0.430548619		0.685911989		
	23.51548205	8.428571429	3.990147783	28.09849052			33.57469635		0.421459707		0.357397858		0.374280991		0.699215317		
	26.89014536	8.822660099	4.39408867	26.02627896			25.19016493		0.439849571		0.33507268		0.498860196		0.693625076		
	44.15005217	11.39408867	5.610837438	36.07474639			29.47646181		0.432994271		0.3400927		0.426318827		0.690595812		
	53.84375986	13.4679803	5.916256158	41.26041375			31.61780952		0.377955398		0.389580686		0.397445959		0.675749817		
	38.93912738	11.01970443	5.133004926	33.35167329			28.56597429		0.408278435		0.364440378		0.43990695		0.688405906		
	43.70933534	11.7044335	5.21182266	35.01072155			28.04322267		0.406240786		0.383808969		0.448107222		0.716529663		
	27.85044529	9.054187192	4.285714286	28.36260492			28.88418298		0.432556979		0.35745938		0.435060622		0.71772729		
	27.89985197	9.147783251	4.477832512	27.17893856			26.47665306		0.424502533		0.342733189		0.474620813		0.681111461		
	25.86509015	8.650246305	4.256157635	27.74987203			29.77199744		0.440116011		0.340458015		0.422086917		0.702534762		
	21.39283894	7.852216749	3.704433498	23.1646596			25.08322789		0.441767723		0.358908781		0.500986981		0.735452011		
	33.39941518	9.458128079	4.852216749	27.21418156			22.1743906		0.475377475		0.321858864		0.56670647		0.727768877		
	39.73534907	10.7044335	5.369458128	35.80230025			32.25854895		0.44152955		0.331903157		0.389551639		0.69132599		
	29.25341552	9.472906404	4.359605911	28.26664319			27.31315654		0.415068911		0.36965812		0.46008489		0.708347068		
	43.58961635	11.21674877	5.704433498	36.35188867			30.3159312		0.441122469		0.325764192		0.414513759		0.681245321		
	36.33842122	10.17241379	5.014778325	29.84226855			24.50742113		0.44712416		0.339604282		0.51275777		0.712344863		
	28.45168531	9.438423645	4.290640394	28.38577505			28.32001747		0.406648506		0.374955149		0.443727502		0.702564842		
	29.18079788	9.674876847	4.315270936	27.58156404			26.06997512		0.396932254		0.383098592		0.482024649		0.69894604		
	35.77821592	10.5270936	4.807881773	33.93131347			32.17974971		0.411066259		0.372952136		0.390505542		0.706897453		
	29.64189861	9.487684729	4.556650246	27.95400307			26.36222118		0.419271794		0.351104875		0.476681025		0.685646207		
	29.83155379	9.399014778	4.497536946	27.59730768			25.53039633		0.429953341		0.352711804		0.492212124		0.705697863		
	41.22097115	11.78325123	5.113300493	33.63764241			27.4494015		0.378005452		0.394752187		0.457801261		0.684150685		
	37.79233905	10.18226601	5.137931034	31.28968892			25.90590202		0.464114368		0.32926045		0.485077516		0.722388898		
	31.66321677	9.591133005	4.591133005	28.54324062			25.73069537		0.438253432		0.35255297		0.488380529		0.719060192		
	30.95948701	9.596059113	4.615763547	27.87848113			25.10408878		0.428073206		0.350433276		0.500570673		0.698967992		
	32.7491082	10.14285714	4.492610837	29.35202765			26.30732787		0.40531155		0.386065298		0.477675676		0.71868796		
	35.62647723	10.38423645	5.157635468	36.91870604			38.25780604		0.420662562		0.336291601		0.328465532		0.665192997		
	30.80926497	9.497536946	4.507389163	27.71953026			24.93965237		0.434880038		0.356313753		0.503871122		0.719689704		
	34.50401611	9.906403941	5.044334975	29.82331405			25.77758073		0.447659393		0.325205931		0.487492242		0.690477763		
	31.0264748	9.669950739	4.586206897	28.31305381			25.83693512		0.422468205		0.356599862		0.486372341		0.699607617		
	34.6585212	10.36945813	4.891625616	31.73278384			29.05402583		0.410400634		0.358941252		0.432517362		0.68328322		
	45.99523162	11.50246305	5.78817734	35.24143864			27.00190767		0.442630397		0.33048433		0.465388252		0.69084423		
	46.98025917	12.2364532	5.512315271	35.89192521			27.42067239		0.399497825		0.378850958		0.458280907		0.696507514		
	44.05689291	11.98029557	5.39408867	34.3445969			26.77336639		0.390830923		0.379075702		0.469360873		0.681754874		
	47.63655997	12.13793103	5.748768473	37.35701986			29.29571181		0.411681337		0.357201873		0.428949148		0.682685861		
	40.34703584	10.44827586	5.477832512	33.42475492			27.69011943		0.470578945		0.31209403		0.453821467		0.704949901		
	44.20711495	11.69458128	5.536945813	34.33792035			26.67201366		0.411559791		0.357347055		0.471144428		0.682711507		
	35.61408916	10.31034483	4.950738916	30.05783662			25.3684304		0.426565355		0.351194319		0.495354676		0.697715912		
	44.32890873	11.84236453	5.290640394	33.4936003			25.30676467		0.402457762		0.38240368		0.496561721		0.707522689		
	43.7703293	11.62068966	5.448275862	36.47518639			30.39591531		0.412692073		0.361616162		0.413423004		0.691335442		
	38.88957509	10.49261084	5.295566502	32.84471916			27.73945394		0.449755192		0.329173167		0.453014347		0.699901954		
	40.8284234	11.04926108	5.42364532	31.86444848			24.86853501		0.425800588		0.341507177		0.505312058		0.681299536		
	41.70485816	10.91625616	5.561576355	33.26843485			26.53860501		0.445604257		0.324962631		0.473512855		0.686934022		
	44.81806159	11.97044335	5.512315271	36.80673126			30.22744442		0.398238017		0.369399831		0.415727193		0.679217371		
	38.72480526	10.71921182	5.369458128	32.75662926			27.70825452		0.42911496		0.33251684		0.45352444		0.672815409		
	40.86905773	10.92118227	5.591133005	33.88278774			28.09077011		0.436280129		0.322792363		0.44734874		0.669306659		
	41.92167973	11.07881773	5.561576355	34.01976377			27.60729852		0.434872514		0.331557134		0.455182915		0.680373444		
	38.20995414	10.45812808	5.108374384	31.97336772			26.75471003		0.444814281		0.343670886		0.469688163		0.715220315		
	42.49335097	11.05418719	5.45320197	33.02193893			25.66162532		0.442769268		0.339301701		0.489695039		0.704924464		
	37.24471596	10.82758621	5.004926108	34.86833463			32.64357717		0.404493442		0.367766024		0.38495691		0.687282596		
	44.26808464	11.97044335	5.438423645	36.62980151			30.30947396		0.393351109		0.375212224		0.414602069		0.679997726		
	40.25800189	11.30541872	5.108374384	34.05307613			28.8045094		0.401041237		0.37755102		0.436264004		0.697080358		
	38.29610037	10.55172414	5.137931034	31.97254741			26.69315618		0.437943227		0.345054945		0.470771254		0.706387253		
	43.67027834	11.41871921	5.448275862	33.54591692			25.76875132		0.426443296		0.353971963		0.487659276		0.701955332		
	41.62671989	10.61083744	5.458128079	31.76930705			24.24617826		0.470742042		0.32066217		0.51828253		0.718751571		
	28.60008736	9	4.561576355	26.25650095			24.10495582		0.449564966		0.327279332		0.521318965		0.696642397		
	31.51492392	9.522167488	4.600985222	28.69196431			26.12187223		0.44254226		0.348447855		0.481066996		0.719332378		
	35.7041059	10.3546798	4.901477833	30.99530312			26.90751641		0.423989336		0.357442686		0.467020829		0.703484358		
	45.20303817	10.93103448	5.852216749	34.03086102			25.61994831		0.48167623		0.302612269		0.490491646		0.706620054		
	21.86984639	7.78817734	4.034482759	24.59436197			27.65829398		0.459075575		0.3175		0.454343664		0.696020509		
	28.06459754	9.02955665	4.172413793	26.9945969			25.96539149		0.438264288		0.367910448		0.483966152		0.744912083		
	24.82296343	8.876847291	3.921182266	26.75170742			28.83031479		0.401094077		0.387220939		0.435873514		0.713145012		
	11.31985731	5.384236453	2.985221675	15.75655712			21.93217505		0.497167606		0.2866392		0.572965088		0.704271708		
	10.86223883	5.275862069	2.906403941	15.05610929			20.86921771		0.496869799		0.289584588		0.602148619		0.708385953		
	40.17731563	11.08374384	5.290640394	34.37819928			29.41611622		0.416407051		0.353790614		0.427193397		0.685150838		
	29.85539567	9.916256158	4.300492611	29.67248983			29.49070456		0.386578304		0.395010395		0.426112933		0.700094859		
	31.34232813	9.615763547	4.866995074	28.65614127			26.20017342		0.431592432		0.327891156		0.479629292		0.669709672		
	34.01571259	10.45320197	4.600985222	29.74212034			26.0054444		0.396361085		0.388743455		0.48322076		0.707260483		
	33.93634886	10.28078818	4.733990148	31.25584627			28.78706635		0.408810848		0.369422572		0.436528351		0.697286657		
	32.60275668	9.945812808	4.862068966	30.05061521			27.6982552		0.419646765		0.343313373		0.453688166		0.674206487		
	32.51908564	9.655172414	4.694581281	27.78412483			23.73860082		0.444148682		0.345691727		0.529364418		0.717433133		
	37.12494843	9.980295567	5.147783251	29.22802975			23.01087973		0.474557861		0.319439922		0.546105615		0.722607065		
	39.6254095	11.00492611	5.192118227	31.71473459			25.3833185		0.416590748		0.358880779		0.495064135		0.693492965		
	36.23599214	10.63054187	5.049261084	34.05551644			32.00624935		0.408262481		0.355953503		0.392622406		0.675082619		
	38.38922323	10.90640394	5.098522167	34.06528371			30.22836767		0.41091906		0.362880886		0.415714495		0.690372421		
	30.03698221	9.896551724	4.374384236	28.49389459			27.0300799		0.390479841		0.386952019		0.464903199		0.693833829		
	40.33054673	11.02955665	5.325123153	33.32817796			27.54159158		0.422112406		0.348795181		0.456268861		0.68666735		
	49.33863962	12.18719212	5.916256158	36.26226371			26.65156112		0.422950921		0.346394558		0.471505986		0.68428425		
	37.50114053	10.72906404	5.201970443	33.25093047			29.48242004		0.414792524		0.346938776		0.42623267		0.671915653		
	31.2564003	9.571428571	4.773399015	28.48049174			25.95111407		0.434405738		0.334478022		0.484232414		0.68412342		
	34.14376714	10.03448276	4.812807882	31.30135164			28.69556281		0.431749231		0.351692104		0.43792034		0.706997567		
	42.73085976	11.12807882	5.45320197	32.82200895			25.21091964		0.439350742		0.342245989		0.498449513		0.704157574		
	36.33178432	10.09852217	4.995073892	31.38717113			27.11550038		0.453608516		0.338120104		0.46343864		0.72025617		
	34.53277197	9.871921182	4.990147783	31.80075916			29.28488578		0.451167909		0.328471992		0.429107722		0.700997314		
	27.00223252	9.157635468	4.285714286	26.46018665			25.92902187		0.409961513		0.362403811		0.484644993		0.688007395		
	35.53457982	10.40394089	5.098522167	31.42706052			27.7943383		0.417989672		0.342230696		0.452119798		0.669898487		
	39.40418355	11.04433498	5.137931034	34.92917349			30.96237634		0.411313829		0.36499239		0.405859372		0.694407643		
	34.25220219	9.75862069	5.054187192	30.91340923			27.90007092		0.457953879		0.317592285		0.450406404		0.694462403		
	37.54884855	11.08374384	5.02955665	34.50723311			31.71200138		0.389165007		0.375726078		0.396265454		0.673566438		
	38.4009561	10.58128079	5.270935961	33.21708782			28.73300655		0.436692444		0.334990677		0.437349659		0.688519205		
	26.27500061	8.650246305	4.305418719	24.76890117			23.34913229		0.447090978		0.335361217		0.53819433		0.705503002		
	36.62949841	10.45812808	5.133004926	30.53272342			25.4507225		0.426415692		0.341548183		0.493753001		0.682347075		
	41.19777233	11.22660099	5.413793103	32.8818928			26.24459559		0.416185818		0.349319124		0.478817461		0.67783469		
	38.0452935	10.73399015	5.0591133	31.16977194			25.53679032		0.420425135		0.359326263		0.492088883		0.700592269		
	31.12164818	10.09359606	4.625615764	29.09226962			27.19522264		0.388938439		0.371485944		0.462080079		0.666572073		
	43.45886821	11.87684729	5.349753695	33.81641785			26.31338927		0.392270985		0.378896197		0.477565641		0.683980077		
	37.29403771	10.08374384	5.344827586	33.1295282			29.43005654		0.466988209		0.30715198		0.426991046		0.691964637		
	39.03043025	10.91625616	5.103448276	34.84569479			31.10963516		0.417028774		0.362853629		0.403938219		0.700593176		
	44.341952	11.57635468	5.566502463	34.5123746			26.86178544		0.421290123		0.350574713		0.46781591		0.688114291		
	42.37435997	11.17241379	5.625615764	35.73099394			30.12916134		0.432234318		0.330205279		0.417083319		0.674195848		
	37.38867723	10.30541872	5.034482759	30.56537079			24.98729457		0.448248593		0.343609505		0.502910412		0.720642051		
	36.76702905	10.69950739	4.975369458	34.17302829			31.76204042		0.408922579		0.365179133		0.395641163		0.690668134		
	47.35059089	12.03940887	5.660098522	36.83616778			28.65652215		0.415934739		0.360423045		0.438516947		0.694858298		
	42.38896843	11.48768473	5.300492611	33.29578542			26.1532509		0.40897612		0.368544601		0.480489812		0.69615205		
	33.80554005	9.852216749	4.866995074	28.53956985			24.09389249		0.443435115		0.338688086		0.521558342		0.705006326		
	41.16927128	10.80295567	5.551724138	37.3694677			33.92037491		0.449156936		0.321084337		0.370466737		0.686440198		
	31.23129656	9.704433498	4.640394089	29.53080309			27.92289872		0.422240373		0.353021978		0.450038183		0.693529535		
	38.46476498	10.62068966	5.236453202	32.77068253			27.91951631		0.434177951		0.339546443		0.450092705		0.691628909		
	29.7031959	9.502463054	4.620689655	29.06037218			28.43146016		0.418833025		0.345657482		0.441988225		0.676488144		
	34.80222767	10.33497537	4.896551724	30.44726432			26.63725763		0.414856855		0.357050453		0.471759172		0.687713027		
	39.17299619	10.94581281	4.965517241	31.83316627			25.86859758		0.416294694		0.375851393		0.485777034		0.720732788		
	44.85982431	11.19211823	5.650246305	34.31492012			26.24873728		0.45597718		0.32904358		0.47874191		0.7093783		
	40.44466015	10.99014778	5.24137931	33.52682772			27.79225176		0.426348014		0.354172989		0.452153741		0.70212117		
	49.17860176	11.97044335	5.778325123	37.23500236			28.19204595		0.43698429		0.348875937		0.445741704		0.710990777		
	25.88561965	9.177339901	4.147783251	26.49525976			27.11925769		0.391322708		0.377449168		0.463374431		0.680026277		
	13.99018418	6.073891626	3.285714286	18.23410991			23.76543153		0.482835811		0.297894737		0.528766776		0.701013848		
	14.43052489	6.295566502	3.157635468	17.99840665			22.44843097		0.463577784		0.331943721		0.559788371		0.725914248		
	39.92076973	11.02463054	5.147783251	32.05638651			25.74128512		0.418197023		0.363387146		0.488179613		0.703419834		
	39.28498629	10.3546798	5.305418719	32.49705569			26.88199051		0.466512599		0.322428437		0.46746429		0.715105744		
	37.60754932	10.37438424	5.147783251	33.32100631			29.52304741		0.444898042		0.336718502		0.425646121		0.704194214		
	42.40241209	11.2364532	5.285714286	38.71645588			35.35091241		0.427604421		0.360166965		0.355475142		0.713933287		
	41.18027615	11.78817734	5.034482759	34.97633404			29.70703593		0.377316721		0.401464129		0.423009911		0.693885378		
	41.09314713	10.83251232	5.384236453	33.37808946			27.11149994		0.44588323		0.335965978		0.463507023		0.704556925		
	37.44212429	10.58128079	5.162561576	31.47502077			26.45888692		0.42578869		0.344180225		0.474939503		0.685420354		
	43.55665025	11.18226601	5.512315271	36.12177224			29.95598656		0.443511569		0.339628209		0.419494467		0.706627614		
	35.12965614	10.85714286	4.684729064	32.3662963			29.82030715		0.379448563		0.397147385		0.421403125		0.690675209		
	30.38858016	9.42364532	4.679802956	27.53752939			24.95396366		0.435695088		0.336360461		0.503582148		0.6890709		
	37.24793128	11.00985222	5.118226601	34.75946514			32.43724888		0.391245447		0.365302382		0.387405561		0.660999541		
	40.6048072	10.86206897	5.334975369	31.12022084			23.85107114		0.438189997		0.341240876		0.526868187		0.700700582		
	41.59661724	11.28571429	5.261083744	32.96373088			26.12249807		0.415824458		0.364096457		0.481055471		0.700573568		
	28.05405373	9.0591133	4.349753695	26.92933734			25.84971201		0.435245571		0.351212344		0.486131939		0.711943071		
	11.87166638	5.881773399	2.832512315	16.74804519			23.6274343		0.436923319		0.349915206		0.531855065		0.712576651		
	40.68065228	10.77339901	5.413793103	32.89372541			26.59734076		0.446264701		0.331101643		0.472467181		0.69748281		
	36.32723434	10.08866995	5.285714286	31.62522976			27.53182771		0.454437985		0.312399872		0.456430672		0.681231524		
	42.38780364	11.74876847	5.266009852	35.17600919			29.19121814		0.390990623		0.381007528		0.430484626		0.685120403		
	37.77825232	10.30049261	5.137931034	32.00777584			27.11871649		0.453352476		0.334396937		0.463383679		0.713831317		
	37.98575554	10.92610837	5.295566502	33.24461431			29.09523228		0.405135108		0.347099909		0.431904805		0.656512257		
	35.3744813	10.57142857	4.798029557	31.58773091			28.20634275		0.403025792		0.375641026		0.445515774		0.697418529		
	30.57281176	9.103448276	4.709359606	27.69195401			25.08255775		0.46971415		0.318116976		0.501000366		0.713128181		
	29.99592322	9.320197044	4.566502463	27.20540449			24.67448752		0.439665272		0.342319972		0.509285982		0.704779792		
	33.61404062	9.714285714	4.866995074	30.25009985			27.22280703		0.45353321		0.332432432		0.461611861		0.710966178		
	32.4662695	9.655172414	4.566502463	29.76247519			27.28385315		0.443427314		0.357810876		0.46057903		0.736357407		
	33.06766726	9.901477833	4.837438424	30.42426409			27.99217247		0.42945102		0.343582888		0.448924449		0.690379822		
	37.25144993	10.23152709	5.137931034	32.94617674			29.1384782		0.453077382		0.331410256		0.431263792		0.708621708		
	35.59952923	10.68472906	4.931034483	33.27649114			31.1050423		0.397033677		0.368454259		0.403997863		0.675682547		
