picname	specified	haul	number	length_cm	division	folder	cal	pop	baseline	stock
image001	CNS_mix	60043	26	23	4b	NS	203	NS	no	CNS_mix
image002	CNS_mix	60043	27	22.5	4b	NS	203	NS	no	CNS_mix
image003	CNS_mix	60043	30	21.5	4b	NS	203	NS	no	CNS_mix
image004	CNS_mix	60043	31	20.5	4b	NS	203	NS	no	CNS_mix
image005	CNS_mix	60043	32	21.5	4b	NS	203	NS	no	CNS_mix
image006	CNS_mix	60043	33	23.5	4b	NS	203	NS	no	CNS_mix
image007	CNS_mix	60043	34	22.5	4b	NS	203	NS	no	CNS_mix
image008	CNS_mix	60045	36	23	4b	NS	203	NS	no	CNS_mix
image009	CNS_mix	60045	37	21.5	4b	NS	203	NS	no	CNS_mix
image010	CNS_mix	60043	25	21	4b	NS	203	NS	no	CNS_mix
image011	West1	4S10A	15	25.5	6a	SC	203	SC	yes	SC_pure
image012	West1	4S10A	18	25.5	6a	SC	203	SC	yes	SC_pure
image013	West1	4S10A	47	27.5	6a	SC	203	SC	yes	SC_pure
image014	West1	4S10A	101	27	6a	SC	203	SC	yes	SC_pure
image015	West1	4S10A	125	32	6a	SC	203	SC	yes	SC_pure
image016	West1	4S10A	102	26	6a	SC	203	SC	yes	SC_pure
image017	West1	4S10A	110	25	6a	SC	203	SC	yes	SC_pure
image018	West1	4S10A	124	25	6a	SC	203	SC	yes	SC_pure
image019	West1	4S10A	115	26	6a	SC	203	SC	yes	SC_pure
image020	West1	4S10A	112	25	6a	SC	203	SC	yes	SC_pure
image021	West1	4S10A	105	26	6a	SC	203	SC	yes	SC_pure
image022	SNS_BW_M	BRB	a1	21.5	4c	NS	203	NS	no	SNS_mix
image023	SNS_BW_M	BRB	a2	27	4c	NS	203	NS	no	SNS_mix
image024	SNS_BW_M	BRB	a3	20.5	4c	NS	203	NS	no	SNS_mix
image025	SNS_BW_M	BRB	a4	26	4c	NS	203	NS	no	SNS_mix
image026	SNS_BW_M	BRB	a5	23.5	4c	NS	203	NS	no	SNS_mix
image027	SNS_BW_M	BRB	a6	20.5	4c	NS	203	NS	no	SNS_mix
image028	SNS_BW_M	BRB	a7	23.5	4c	NS	203	NS	no	SNS_mix
image029	SNS_BW_M	BRB	a8	25.5	4c	NS	203	NS	no	SNS_mix
image030	SNS_BW_M	BRB	b1	24.5	4c	NS	203	NS	no	SNS_mix
image031	SNS_BW_M	BRB	b2	23	4c	NS	203	NS	no	SNS_mix
image032	SNS_SWI	S3	a1	27	4c	NS	203	NS	no	SNS_mix
image033	SNS_SWI	S3	a2	26.5	4c	NS	203	NS	no	SNS_mix
image034	SNS_SWI	S3	a3	24.5	4c	NS	203	NS	no	SNS_mix
image035	SNS_SWI	S3	a4	23.5	4c	NS	203	NS	no	SNS_mix
image036	SNS_SWI	S3	a5	25	4c	NS	203	NS	no	SNS_mix
image037	SNS_SWI	S3	a6	26.5	4c	NS	203	NS	no	SNS_mix
image038	SNS_SWI	S3	a7	24.5	4c	NS	203	NS	no	SNS_mix
image039	SNS_SWI	S3	a8	24.5	4c	NS	203	NS	no	SNS_mix
image040	SNS_SWI	S3	a9	25	4c	NS	203	NS	no	SNS_mix
image041	SNS_SWI	S3	a10	22.5	4c	NS	203	NS	no	SNS_mix
image042	SNS_SWI	B1	a2	28	4c	NS	203	NS	no	SNS_mix
image043	SNS_SWI	B1	a3	28	4c	NS	203	NS	no	SNS_mix
image044	SNS_SWI	B1	a4	29.5	4c	NS	203	NS	no	SNS_mix
image045	SNS_SWI	B1	a5	29.5	4c	NS	203	NS	no	SNS_mix
image046	SNS_SWI	B1	a7	27.5	4c	NS	203	NS	no	SNS_mix
image047	SNS_SWI	B1	a8	29.5	4c	NS	203	NS	no	SNS_mix
image048	SNS_SWI	B1	b1	24.5	4c	NS	203	NS	no	SNS_mix
image049	SNS_SWI	B1	b2	29	4c	NS	203	NS	no	SNS_mix
image050	SNS_SWI	B1	b3	30	4c	NS	203	NS	no	SNS_mix
image051	SNS_SWI	B1	b4	27	4c	NS	203	NS	no	SNS_mix
image052	NNS_mix	60026	1	29.5	4a	NS	203	NS	no	NNS_mix
